"사례 일련번호","제목","내용","수리유형","수리유형명","등록자 id","회원구분","회원구분명","시공업체","업체 연락처_1","업체 연락처_2","업체 연락처_3","작성일","메인노출여부"
"141","옥상방수 우레탄 보수 시공 - fin, 심화교육 전에 작업","장마를 앞두고 있어 완벽한 성공기를 올리기에는 시간이 많이 걸릴 것으로 보여 중간 단계까지 진행한 결과 공유하려 하고, 성공기라기 보다는 과정을 적어 저처럼 직접 집수리를 고민하시는 분들에게 도움이 되셨으면 합니다.  의식의 흐름대로 글을 작성하다 보니 평어체를 사용합니다. 이해 부탁 드려요. 사진이 원하는 대로 올라가지 않아 글 위주로 설명을 하려 하고, 첨부한 사진은 이전/이후 사진이 아닌 점 참고해주세요.  &lt;상황&gt;  - 옥상 방수를 한 지 5년 정도 지난 상태이며 작년 9월경 부분 도포를 진행 ( 사진의 상/중/하도 밝은 녹색 부분 ) - 부분적으로 중도 부분이 드러나는 곳이 있어 상도를 다시 해야 함 - 거대 평상 2개 ( 4m x 2m , 약 200kg ), 장독, 실외기 등을 옮겨야 함 - 약 40% 공간 차지  &lt;사전 검토 사항&gt; - 인터넷 / 전문가를 통해 각종 지식을 수집 - 내가 혼자 할 수 있는 방수 방법에는 무엇이 있는가? - 자재는 쉽게 인터넷으로 구할 수 있는가? - 결국, 시공하기 쉬운 자재를 쉽게 구매할 수 있는가를 판단해야 함   - 자재    1. 우레탄 페인팅    * 중도가 이상 없는 경우, 하도/상도를 해야 함, 하도는 2번, 상도는 2~3번 추천 =&gt; 총 4~5회를 해야 함!!    * 2 ~ 3년 마다 다시 칠해야 함 ( 접착력 향상을 위해 하도도 꼭 해야 함 )    * 1액 / 2액 방식 =&gt; 경화제가 분리되어 있느냐 아니냐 =&gt; 2액으로 분리된 경우에는 나머지 보관 가능, 1액의 경우 다 써야 하지만 섞을 필요 없음 ( 교반기? )    * 15~20평의 경우, 15L 큰 통으로 하도 1~2통, 상도 1~2통 필요           2. 아스팔트 시트    * 폭 1M 정도의 시트를 겹쳐서 시공    * 자착식/토치 가열식이 있음    * 노출식으로 해야 하며 붙일 때, 다시 뗄 수 없으므로 잘 붙여야 함. (2~3인이 함께 붙여야 할 듯 하고, 난이도 있음, 손재주 필요)     3. 기타 방법은 현실성 없어 생략    - 짐이동   1. 평상은 어떻게 옮기는가?      * 대여섯명이 들어서 	* 바퀴를 달아서 	* 이사도구 사용 ( 이걸로 결정, 홈쇼핑 킹크x인 )  &lt;시공 방식 결정&gt;  - 가급적 혼자 시공  - 페인트 방식으로 진행  - 현실적인 문제로 하도/상도를 꼭 나눠서 해야 하는가에 대해 많은 고민 ( 옥상에 짐을 옮겨가며 해야 하고 총 8~10번 페인팅 )  - 우레탄 일종인 콜타르우레탄 방식을 추가 검토  - 상품 후기 및 평가를 믿고 콜타르 우레탄으로 결정 ( 하도를 생략 가능하고 작업 기간을 절반으로 줄일 수 있음, 실패하면 =&gt; 업자를 부른다.. 함대표님 말씀대로?? )  - 쿨루프 적용을 위해 추가 검토를 했으나, 색상만 변경하기로 결정 ( 녹색 =&gt; 연회색 )   &lt;준비작업&gt; - 바닥 작업  1. 물청소 : 오염된 곳이 많아 물청소를 진행해야 함. 쓸고 닭고 말린다? =&gt; 공유 허브에서 공업용 청소기를 대여가능 ( 집수리 공구임대 S-201 )  2. 흠이 있는 부분은 사전 보수  3. 평상/짐 이동 : 킹크x인을 사용해 한쪽으로 이동 =&gt; 30분만에 혼자 진행  - 전선 작업  1. 옥상에 주렁주렁 걸려 있는 케이블 전선 제거 ( 기존 우레탄으로 난간과 일체화 되어 있음 )  2. 직접 작업하다 서울시 공중선 민원 센터에 전화해서 해결 ( 콜센터 1588-2498 )   - 자재 /공구 구매 및 대여  1. 인터넷 지마x 통해 전체 자재 공구 구매 ( 페인트, 롤러 들, 붓, 실리콘, 트레이 ) 일괄 구매시 배송비 줄이는 효과  2. 전동 공구 대여 : 집수리 공구 대여소 ( 공업용 청소기 )  &lt;작업 1&gt; - 3시간 x 2일 만에 60% 완료 - 건조 후에 40% 작업 하려 했으나... 장마가.. =&gt; 1차 리뷰는 여기까지 입니다.   &lt;작업 2&gt; - 장마 끝나고 하자.. 누수가 우려되는 급한 부분은 다 처리한 듯  &lt;중간 회고&gt; - 고민은 길고 실행은 짧다.. - 상세하게 보면 엉망이지만 방수는 잘 될 것 같다. 목표는 달성? - 대략 1/10 ~ 1/8 비용으로 처리할 것 같다. - 공구 대여소에서 콤프레샤를 빌려 에어 스프레이로 하면 어땠을까?    ** 글 올리며 불편한 점 ** 1. 이미지는 왜 원하는 위치에 넣을 수 없고, 두장씩 이전/이후 같은 포맷만 되나요? 2. 제목은 왜 몇 글자 못 넣고 잘리나요? ( 버그인 듯 매번 다른 형태로 글자가 짤리네요. ) 3. HTML 편집기 지원 안되나요? 4. 세션이 끊겨서 글을 네번 다시 작성.. 아이고.. 5. 유튜브나 기타 동영상을 올릴 수 있으면 과정 설명이 좋겠네요. 6. 다른 문서 파일이나 구글 독스 같은 것도 첨부되면 좋겠고요. 7. 전체적으로 블로그 형태의 컨텐츠를 만들 수 있게 해야 지식 공유의 취지에 맞겠습니다. ","S","자가수리","naldagon","G","일반회원","","","","","201906261430","N"
"101","장위동 가꿈주택 골목길 정비사례(감나무골목)"," 2018년 7월에 준공한 장위동 가꿈주택 골목길입니다.  개별 집수리와 연계한 기반시설(골목길) 정비로 그동안 주거복지 사각지대로  방치된 저층주거지에 대한 맞춤형 집수리 지원(서울가꿈주택 사업)을 통해  지속가능한 주거환경 개선을 추진한 모범사례입니다.^^    ○  장위동 가꿈주택 개선 내용      - 가꿈주택사업(보조금 지원)을 통한 개별 집수리 진행      - 환경개선        ? 노후 담장 및 대문 재설치, 골목길 쉼터 조성        ? 노후 하수관 개량, 콘크리트블록 포장       - 안전확보        ? 보안등 및 바닥등 설치        ? 보안CCTV 설치 등       - 기타        ? 주민 소통을 위한 골목길 마을 게시판 설치 및 공공장소 확보 등    ○  사업문의       - 서울특별시 주거환경개선과 02)2133-7265    ○ 2019. 6. 21 tbs 민생연구소 방송 vcr : https://www.youtube.com/watch?v=yNfzoq2HYLs ","S","자가수리","kbkyoo","G","일반회원","","","","","201811271051","Y"
"1","안방 내부 수리","단열공사와 창호 교체 후 도배를 했습니다.","S","자가수리","dmno021","G","일반회원","","","","","201802101945","Y"
"2","외관 보수 공사","외벽과 지붕 공사","S","자가수리","dmno021","G","일반회원","","","","","201802101947","Y"
"3","마을 풍경 지키기","주택개량 직접지원 _ 장수마을 ( ’13 ~ ’15년) ? 관련근거 (도정조례 제38조) : 주거환경관리사업구역 중 역사문화적 특성 보전 필요지역은 주택개량 비용 ½ 지원  ? 지원기준 (최대 1천2백만원) :  마을건축가 승인, 4년 임대료 동결  ( 총 45동 : ’13년 10동, ’14년 15동, ’15년 20동 ) ","E","업체수리","dmno021","G","일반회원","서울시","","","","201802101950","Y"
"323","성동구 용답동 -25년 이상된 단독 다가구 리모델링","안녕하세요~ 서울 성동구 용답동에 거주중인 시민입니다.^^ 가꿈주택 사업은 작년말에 처음 알게되었구요, 작년말에는 보조금이 모두 소진되어서 올해초 준비를 철저히 해서 가꿈주택 공고 나자마자 바로 신청했습니다. 그래서 성동구 용답동1호로 접수를 하게되었습니다.^^ 우선 저희 주택은 25년 이상된 노후주택이어서 손볼 곳이 한두군데가 아니었는데요, 제가 특히 신경쓴 부분은 단열공사/ 창호/ 방수/ 화장실/ 단열문 이었습니다. 업체 사장님께서는 너무나도 감사하게 모든 공정을 저와 상의를 통해서 가장 좋은 방법으로 하고자 노력해주셨고, 자재 또한 최고급 자재로 시공을 하였습니다. 특히 반지하 공사는 정말 힘들었는데요, 계단을 올라가는 화장실을 편평하게 만드느라고 고생을 너무 하셨습니다. 다시한번 감사드립니다.^^ 저희 집에 반지하는 진짜 어디에서도 볼수 없을 정도로 완벽하게 수리되었고, 진짜 사람들에게 알려주고 싶습니다. 반지하도 정말 멋진 공간이 될 수 있다는 것을요. 진짜 다시한번 대표님에게 감사드리고, 모든 공정을 보여드릴수는 없지만, 여기에 제가 진행한 사항을 간략하게 보여드리고자 합니다.  제 경험담이 많은 도움이 되시길 바라겠습니다.","E","업체수리","rhkdwk80","G","일반회원","리오디자인","02","2282","5607","202107271512","Y"
"341"," 30년 이상된 다세대주택 전체수리 ","30년 이상된 다세대주택 전체수리  -바닥공사: 기존 동파이프의 바닥을 엑셀파이프로 교체 함. -주방공사: 4인 가족이 생활하기에 협소한 1800mm의 싱크대를 3600mm로 확장 함.                     기존에 일자형의 싱크대를 주방중간에 있던 베란다 출입문을 철거하여 싱크대 공간을 확보 함.                    화장실에서 출입할 수있게 위치 변경하고 사선으로 되어있는 우측벽에 위치했던 냉장고의 위치를 좌측으로 이동하여                   일자형의 싱크대를 기역장형의 싱크대로 확장 설치 함. -창호: 전체 24페어 로이유리 차호로 교체 함. -벽: 전체 단열공사와 실크 도배 진행 함. -등: 전체 에너지 효율이 높은 LED 등으로 교체 함. -현관: 문 교체와 함께 현관 우측에 있는 방문을 4개의 미닫이 문을 1개의 여닫이 문으로 교체하고 확보된 공간을 붇박이 장을 설치하여 수납 공간을 확대 함","E","업체수리","wym1104","G","일반회원","홍성인테리어","010","3273","9004","202108202346","Y"
"421","30년된 복도식 아파트 전체 리모델링","작년에 어렵게 새집을 장만하였습니다. 30가까이된 복도식 아파트이고, 인테리어 업체를 아는데가 없어서 소개를 받아서 인테리어를 진행하게 되었습니다. 가장 중요한것은 샤시와 단열이었고, 곰팡이와 결로도 굉장히 심했었습니다.  처음에 집을 보고나서는 너무 대책이 안서서, 밤잠도 설치고 그랬네요...ㅎㅎㅎ  공사기간은 넉넉하게 1달정도 소요되었고, 샤시교체/ 단열공사/ 시스템에어컨 설치 / 붙박이장 /싱크대 모두 교체/ 바닥은 강마루/ 화장실 올수리등/ 그리고 가장 마음에 들었던 벽지는 이름은 까먹었는데 너무나 특이하고, 두꺼워서 이런 벽지도 있었나 싶었습니다. 암튼 인테리어 사장님께 감사드리고, 집을 볼때마다 뿌듯합니다.    ","E","업체수리","jor0401","G","일반회원","주옥례","02","2282","5607","202204071536","N"
"301","불광동 집수리","불광동 오래된  다가구  2룸  주방쪽 확장  샤시교체 주방 씽크 화장실 현관문 방문 신발장 도배 장판 등기구 공사 하였음","E","업체수리","limseon","G","일반회원","임인선","010","4155","3891","202103091255","Y"
"481","시골 오래된 단층주택 옥상 방수공사","시골집 방수공사 ","S","자가수리","kwgo1285","G","일반회원","","","","","202210041741","N"
